GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description
3952,1.22e-40,6.49e-45,0.5036,-14.062151,-7.0817725,3284.2,LEP,leptin
2321,1.05e-24,1.1199999999999999e-28,0.3246,-11.110326,-3.6065302,37569.32,FLT1,fms related receptor tyrosine kinase 1
652995,2.2e-24,3.51e-28,0.2521,-11.007575,-2.7751979,295.43,UCA1,urothelial cancer associated 1
1308,8.549999999999999e-24,1.82e-27,0.3363,-10.858252,-3.6510884,1437.37,COL17A1,collagen type XVII alpha 1 chain
9915,2.5e-17,6.66e-21,0.3644,-9.378983,-3.4176862,130.5,ARNT2,aryl hydrocarbon receptor nuclear translocator 2
1734,3.92e-17,1.25e-20,0.4764,-9.312111,-4.4361806,407.51,DIO2,iodothyronine deiodinase 2
723788,1.34e-16,4.99e-20,0.3313,-9.164201,-3.0364371,104.2,MIG7,replaced by ID 8412
6578,6.01e-16,2.56e-19,0.2112,-8.98609,-1.8979087,1596.18,SLCO2A1,solute carrier organic anion transporter family member 2A1
4582,9.09e-16,4.36e-19,0.3522,-8.927457,-3.1446324,121.61,MUC1,"mucin 1, cell surface associated"
26508,2.79e-15,1.49e-18,0.1771,8.790531,1.5566498,348.04,HEYL,hes related family bHLH transcription factor with YRPW motif like
1474,3.13e-15,1.83e-18,0.43,-8.767022,-3.7699545,31.16,CST6,cystatin E/M
7025,2.12e-14,1.35e-17,0.1861,8.53911,1.5890682,426.12,NR2F1,nuclear receptor subfamily 2 group F member 1
105370445,3.28e-14,2.27e-17,0.5533,-8.478973,-4.6912223,23.99,EGLN3-AS1,EGLN3 antisense RNA 1
8862,5.34e-14,3.98e-17,0.229,8.413399,1.9269077,438.23,APLN,apelin
100506211,8.34e-14,6.67e-17,0.3446,-8.35282,-2.8787671,37.83,MIR210HG,MIR210 host gene
7162,2.23e-13,1.9e-16,0.2633,-8.228133,-2.16666,293.25,TPBG,trophoblast glycoprotein
8470,3.55e-13,3.22e-16,0.1322,8.164804,1.0792573,704.43,SORBS2,sorbin and SH3 domain containing 2
255743,6.15e-12,5.9e-15,0.3261,-7.806098,-2.5453188,153.23,NPNT,nephronectin
7225,6.4e-12,6.48e-15,0.1597,7.794272,1.2444636,329.26,TRPC6,transient receptor potential cation channel subfamily C member 6
112399,1.8e-11,1.92e-14,0.4958,-7.655966,-3.7955964,235.13,EGLN3,egl-9 family hypoxia inducible factor 3
105377068,2.59e-11,2.9e-14,0.4899,-7.602566,-3.7242258,24.36,LINC02009,long intergenic non-protein coding RNA 2009
158158,4.16e-11,4.88e-14,0.3298,-7.535142,-2.485198,187.9,RASEF,RAS and EF-hand domain containing
1464,5.05e-11,6.19e-14,0.1839,7.504045,1.3799943,967.18,CSPG4,chondroitin sulfate proteoglycan 4
3880,1.6e-10,2.04e-13,0.2213,-7.345836,-1.625815,2546.53,KRT19,keratin 19
105374480,3.67e-10,4.89e-13,0.5343,-7.228271,-3.8622717,182.43,LOC105374480,uncharacterized LOC105374480
3624,7.16e-10,1.07e-12,0.3481,-7.121413,-2.4793029,8865.46,INHBA,inhibin subunit beta A
84245,7.16e-10,1.03e-12,0.1825,7.126056,1.3001854,255.16,MRI1,methylthioribose-1-phosphate isomerase 1
29943,1.06e-09,1.64e-12,0.512,-7.062174,-3.6155058,57.72,PADI1,peptidyl arginine deiminase 1
54210,1.08e-09,1.72e-12,0.4346,-7.055139,-3.0658787,172.21,TREM1,triggering receptor expressed on myeloid cells 1
56999,1.13e-09,1.87e-12,0.1732,7.044003,1.2199562,482.61,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
100131176,1.33e-09,2.27e-12,0.3839,-7.016978,-2.6934958,76.03,WDR86-AS1,WDR86 antisense RNA 1
947,1.41e-09,2.57e-12,0.1706,6.999651,1.1941247,1549.43,CD34,CD34 molecule
4337,1.41e-09,2.53e-12,0.1713,7.00143,1.199685,291.41,MOCS1,molybdenum cofactor synthesis 1
51285,1.41e-09,2.63e-12,0.2134,6.995948,1.4932428,100.16,RASL12,RAS like family 12
2022,1.66e-09,3.19e-12,0.2522,-6.969231,-1.7576027,3280.81,ENG,endoglin
105376939,1.77e-09,3.49e-12,0.6257,-6.956474,-4.3527009,34.56,LOC105376939,uncharacterized LOC105376939
109,1.79e-09,3.69e-12,0.1784,6.948599,1.239471,601.55,ADCY3,adenylate cyclase 3
105373242,1.79e-09,3.72e-12,0.1685,-6.947588,-1.1708256,239.85,LOC105373242,uncharacterized LOC105373242
3623,1.88e-09,4e-12,0.365,-6.937205,-2.5318412,511.45,INHA,inhibin subunit alpha
203100,2.49e-09,5.43e-12,0.631,-6.893727,-4.3499019,2307.76,HTRA4,HtrA serine peptidase 4
105376938,2.54e-09,5.69e-12,0.5486,-6.887181,-3.7785798,68.08,LOC105376938,uncharacterized LOC105376938
101929272,5.13e-09,1.18e-11,0.2174,6.78256,1.4746646,93.6,DTNB-AS1,DTNB antisense RNA 1
196740,5.13e-09,1.2e-11,0.1519,6.779841,1.0297975,194.49,VSTM4,V-set and transmembrane domain containing 4
57210,5.2e-09,1.25e-11,0.2128,6.77463,1.4414034,505.34,SLC45A4,solute carrier family 45 member 4
9241,6.11e-09,1.5e-11,0.553,-6.748006,-3.7314039,87.44,NOG,noggin
387882,8.85e-09,2.22e-11,0.4256,-6.690962,-2.8475068,90.41,C12orf75,chromosome 12 open reading frame 75
112268037,9.83e-09,2.51e-11,0.4463,-6.672496,-2.9780007,28.88,LOC112268037,
79858,1.02e-08,2.69e-11,0.2636,-6.662415,-1.7559438,212.82,NEK11,NIMA related kinase 11
10272,1.02e-08,2.73e-11,0.6449,-6.660558,-4.2956942,4746.25,FSTL3,follistatin like 3
3099,1.26e-08,3.41e-11,0.4456,-6.627473,-2.9532505,237.74,HK2,hexokinase 2
103752554,1.3e-08,3.67e-11,0.4501,-6.617,-2.9783276,33.19,MYCNUT,MYCN upstream transcript
6581,1.3e-08,3.65e-11,0.1955,6.617575,1.2937898,358.07,SLC22A3,solute carrier family 22 member 3
353149,1.41e-08,4.05e-11,0.4941,-6.602059,-3.2622986,25.87,TBC1D26,TBC1 domain family member 26
10319,1.54e-08,4.61e-11,0.2048,6.583056,1.3482632,1634.82,LAMC3,laminin subunit gamma 3
359845,1.54e-08,4.59e-11,0.2188,6.583578,1.4405975,238.43,RFLNB,refilin B
285954,1.61e-08,4.88e-11,0.3046,-6.574518,-2.0026779,74.91,INHBA-AS1,INHBA antisense RNA 1
100129781,1.63e-08,5.04e-11,0.3677,-6.569874,-2.4159023,53.0,MIR193BHG,MIR193b-365a host gene
25960,1.63e-08,5.12e-11,0.2023,6.567301,1.328454,879.65,ADGRA2,adhesion G protein-coupled receptor A2
4915,1.66e-08,5.31e-11,0.4568,-6.562095,-2.9973916,105.92,NTRK2,neurotrophic receptor tyrosine kinase 2
7127,1.89e-08,6.13e-11,0.268,-6.540586,-1.753048,861.33,TNFAIP2,TNF alpha induced protein 2
57188,1.98e-08,6.53e-11,0.2079,6.531106,1.3576023,308.72,ADAMTSL3,ADAMTS like 3
105378525,2.17e-08,7.39e-11,0.3698,-6.512472,-2.4083793,61.27,LOC105378525,uncharacterized LOC105378525
10418,2.17e-08,7.39e-11,0.1655,6.512565,1.0778339,340.64,SPON1,spondin 1
9644,2.18e-08,7.54e-11,0.1905,-6.509422,-1.2403564,2740.44,SH3PXD2A,SH3 and PX domains 2A
55576,2.45e-08,8.63e-11,0.4532,-6.489138,-2.9411608,79.93,STAB2,stabilin 2
389336,3.72e-08,1.35e-10,0.4984,-6.42167,-3.2006076,27.58,C5orf46,chromosome 5 open reading frame 46
255480,4.09e-08,1.5e-10,0.1959,6.405139,1.2548131,105.29,TBX5-AS1,TBX5 antisense RNA 1
3241,4.3e-08,1.63e-10,0.2652,-6.39291,-1.6953961,372.81,HPCAL1,hippocalcin like 1
102723566,5.43e-08,2.08e-10,0.2467,-6.355166,-1.5680732,386.62,LOC102723566,uncharacterized LOC102723566
6676,5.65e-08,2.2e-10,0.3468,-6.346915,-2.2008595,50.78,SPAG4,sperm associated antigen 4
57482,5.94e-08,2.34e-10,0.2754,6.337009,1.7451782,96.48,CRACD,capping protein inhibiting regulator of actin dynamics
105370135,6.38e-08,2.55e-10,0.6414,-6.323832,-4.0561853,22.07,LOC105370135,uncharacterized LOC105370135
338442,7.08e-08,2.9e-10,0.4141,-6.303768,-2.6102614,26.12,HCAR2,hydroxycarboxylic acid receptor 2
131405,7.29e-08,3.1e-10,0.4744,-6.293478,-2.9854925,62.22,TRIM71,tripartite motif containing 71
84632,7.29e-08,3.05e-10,0.2016,6.296233,1.2696055,265.26,AFAP1L2,actin filament associated protein 1 like 2
10052,7.29e-08,3.13e-10,0.1909,6.292384,1.2011459,744.1,GJC1,gap junction protein gamma 1
50509,7.29e-08,3.15e-10,0.2911,6.29141,1.8314975,693.77,COL5A3,collagen type V alpha 3 chain
9467,7.98e-08,3.49e-10,0.3177,-6.275495,-1.9938207,646.4,SH3BP5,SH3 domain binding protein 5
60676,8.34e-08,3.69e-10,0.4359,-6.2666,-2.7318171,68885.44,PAPPA2,pappalysin 2
105379051,9.42e-08,4.27e-10,0.5284,-6.243964,-3.299611,37.3,LOC105379051,uncharacterized LOC105379051
3908,9.42e-08,4.27e-10,0.1894,6.243948,1.1827789,3603.49,LAMA2,laminin subunit alpha 2
79834,1.14e-07,5.24e-10,0.1678,6.211847,1.0421353,1012.32,PEAK1,pseudopodium enriched atypical kinase 1
79816,1.14e-07,5.26e-10,0.2882,-6.210998,-1.7899842,79.63,TLE6,"TLE family member 6, subcortical maternal complex member"
84561,1.21e-07,5.65e-10,0.4266,-6.199772,-2.6448395,84.7,SLC12A8,solute carrier family 12 member 8
642446,1.37e-07,6.48e-10,0.5596,-6.178244,-3.4575474,14.95,TRIM64B,tripartite motif containing 64B
2829,1.4e-07,6.71e-10,0.3938,-6.17288,-2.4309997,104.38,XCR1,X-C motif chemokine receptor 1
55722,1.41e-07,6.84e-10,0.2848,-6.169638,-1.7572303,136.73,CEP72,centrosomal protein 72
730,1.65e-07,8.16e-10,0.2925,6.141783,1.7966341,2112.2,C7,complement C7
54733,1.93e-07,9.84e-10,0.2141,-6.111916,-1.3086019,195.07,SLC35F2,solute carrier family 35 member F2
105378526,2.53e-07,1.31e-09,0.3068,-6.066158,-1.8608079,204.95,LOC105378526,
2591,2.62e-07,1.37e-09,0.3718,-6.059264,-2.2528213,86.51,GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
387715,2.83e-07,1.49e-09,0.5766,-6.045163,-3.4854047,124.86,ARMS2,age-related maculopathy susceptibility 2
4804,3.2e-07,1.71e-09,0.3032,6.023407,1.8264002,151.68,NGFR,nerve growth factor receptor
102723596,3.28e-07,1.77e-09,0.618,-6.017999,-3.7192029,63.97,LOC102723596,uncharacterized LOC102723596
4137,3.39e-07,1.84e-09,0.2639,6.011132,1.5860637,155.84,MAPT,microtubule associated protein tau
105375574,3.68e-07,2.04e-09,0.2375,5.994519,1.4234885,74.28,LOC105375574,
220001,3.68e-07,2.02e-09,0.3398,-5.996086,-2.0376016,154.12,VWCE,von Willebrand factor C and EGF domains
112724,4.19e-07,2.35e-09,0.2887,-5.971791,-1.7242216,1508.29,RDH13,retinol dehydrogenase 13
25797,4.38e-07,2.47e-09,0.4013,-5.963218,-2.393158,45.85,QPCT,glutaminyl-peptide cyclotransferase
2242,4.99e-07,2.84e-09,0.1804,5.940331,1.0718887,197.71,FES,"FES proto-oncogene, tyrosine kinase"
23526,5.76e-07,3.31e-09,0.368,-5.915295,-2.1767577,640.84,ARHGAP45,Rho GTPase activating protein 45
54538,6.36e-07,3.7e-09,0.1786,5.897292,1.0531759,479.29,ROBO4,roundabout guidance receptor 4
2630,6.55e-07,3.84e-09,0.2309,-5.891052,-1.3602744,246.17,GBAP1,glucosylceramidase beta pseudogene 1
1827,7.2e-07,4.26e-09,0.1837,5.87384,1.0790084,446.52,RCAN1,regulator of calcineurin 1
105377105,7.31e-07,4.36e-09,0.2921,-5.869814,-1.7146617,155.42,FLNB-AS1,FLNB antisense RNA 1
100126326,7.38e-07,4.44e-09,0.5791,-5.866854,-3.397576,17.87,MIR936,microRNA 936
644861,7.41e-07,4.54e-09,0.6932,-5.863187,-4.0641291,15.93,NBPF13P,"NBPF member 13, pseudogene"
2196,8.15e-07,5.04e-09,0.5384,-5.845931,-3.1475014,377.09,FAT2,FAT atypical cadherin 2
6535,8.96e-07,5.59e-09,0.2328,-5.828652,-1.3566736,337.4,SLC6A8,solute carrier family 6 member 8
105376941,9.4e-07,5.91e-09,0.6323,-5.819297,-3.6798204,34.91,LOC105376941,uncharacterized LOC105376941
9620,1.01e-06,6.39e-09,0.3316,-5.806333,-1.9250951,75.12,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
3872,1.03e-06,6.66e-09,0.3862,-5.799301,-2.2399307,21.02,KRT17,keratin 17
9365,1.06e-06,6.89e-09,0.2583,5.793537,1.4964095,388.34,KL,klotho
112268430,1.07e-06,7.08e-09,0.4903,-5.789011,-2.8381328,1487.08,LOC112268430,
2983,1.07e-06,7.14e-09,0.1897,5.787613,1.0981237,289.87,GUCY1B1,guanylate cyclase 1 soluble subunit beta 1
133584,1.12e-06,7.53e-09,0.2013,5.778721,1.1631487,324.04,EGFLAM,"EGF like, fibronectin type III and laminin G domains"
85360,1.18e-06,7.96e-09,0.2336,-5.769307,-1.3479599,1472.78,SYDE1,synapse defective Rho GTPase homolog 1
6518,1.18e-06,8.05e-09,0.3778,-5.767474,-2.1787587,50.86,SLC2A5,solute carrier family 2 member 5
105375247,1.18e-06,8.11e-09,0.2346,-5.766128,-1.3527853,123.38,LOC105375247,uncharacterized LOC105375247
107987295,1.39e-06,9.61e-09,0.5115,-5.737466,-2.9347406,227.19,LINC02246,long intergenic non-protein coding RNA 2246
55964,1.4e-06,9.78e-09,0.239,-5.734558,-1.3704655,138.06,SEPTIN3,septin 3
23266,1.49e-06,1.06e-08,0.1828,5.72111,1.0459985,875.11,ADGRL2,adhesion G protein-coupled receptor L2
10397,1.51e-06,1.08e-08,0.3012,-5.718197,-1.722266,1739.37,NDRG1,N-myc downstream regulated 1
105376942,1.59e-06,1.14e-08,0.5987,-5.708159,-3.4176341,28.97,LOC105376942,uncharacterized LOC105376942
23328,1.62e-06,1.18e-08,0.2598,-5.702943,-1.4817853,1775.06,SASH1,SAM and SH3 domain containing 1
5322,1.63e-06,1.19e-08,0.2537,5.70161,1.4465169,199.73,PLA2G5,phospholipase A2 group V
81575,1.76e-06,1.3e-08,0.2526,5.686421,1.4364839,410.69,APOLD1,apolipoprotein L domain containing 1
155038,1.81e-06,1.34e-08,0.1967,5.680351,1.1175522,199.83,GIMAP8,"GTPase, IMAP family member 8"
23371,1.88e-06,1.41e-08,0.1929,5.672664,1.0941374,616.5,TNS2,tensin 2
6910,1.91e-06,1.43e-08,0.2038,5.669259,1.1553676,389.44,TBX5,T-box transcription factor 5
107987097,1.96e-06,1.48e-08,0.2791,-5.663355,-1.580624,95.12,LOC107987097,uncharacterized LOC107987097
1838,2.07e-06,1.58e-08,0.2023,5.65276,1.1433151,314.02,DTNB,dystrobrevin beta
27198,2.15e-06,1.66e-08,0.3546,-5.644174,-2.0014722,49.47,HCAR1,hydroxycarboxylic acid receptor 1
9783,2.16e-06,1.68e-08,0.2221,5.641799,1.2530117,133.31,RIMS3,regulating synaptic membrane exocytosis 3
113220,2.38e-06,1.86e-08,0.4711,-5.624212,-2.6496943,22.34,KIF12,kinesin family member 12
100506358,2.4e-06,1.89e-08,0.3285,-5.62147,-1.8465488,1974.51,LOC100506358,uncharacterized LOC100506358
81607,2.42e-06,1.92e-08,0.3168,-5.618988,-1.7802781,1557.73,NECTIN4,nectin cell adhesion molecule 4
105375855,2.76e-06,2.24e-08,0.5511,-5.592526,-3.0818232,28.41,LOC105375855,uncharacterized LOC105375855
8701,3.1e-06,2.56e-08,0.392,-5.569336,-2.1829524,284.09,DNAH11,dynein axonemal heavy chain 11
84701,3.1e-06,2.53e-08,0.2621,5.571165,1.4600157,128.45,COX4I2,cytochrome c oxidase subunit 4I2
57168,3.1e-06,2.55e-08,0.4872,-5.569705,-2.713315,18.87,ASPHD2,aspartate beta-hydroxylase domain containing 2
100996664,3.32e-06,2.76e-08,0.2978,-5.556249,-1.6547398,57.46,LOC100996664,uncharacterized LOC100996664
2515,3.63e-06,3.04e-08,0.6986,-5.539365,-3.8698216,22.59,ADAM2,ADAM metallopeptidase domain 2
105378146,3.64e-06,3.07e-08,0.7824,-5.537577,-4.332489,15.98,LOC105378146,uncharacterized LOC105378146
126731,3.66e-06,3.1e-08,0.2971,-5.535704,-1.6447056,3135.36,CCSAP,"centriole, cilia and spindle associated protein"
107986663,3.68e-06,3.14e-08,0.358,-5.533435,-1.9808434,82.03,LOC107986663,uncharacterized LOC107986663
4223,3.83e-06,3.3e-08,0.2223,5.524832,1.2281596,335.48,MEOX2,mesenchyme homeobox 2
170961,3.83e-06,3.3e-08,0.2139,-5.524493,-1.1815413,117.15,ANKRD24,ankyrin repeat domain 24
9830,4.18e-06,3.63e-08,0.2633,-5.508037,-1.4501848,200.93,TRIM14,tripartite motif containing 14
22998,4.29e-06,3.75e-08,0.2254,-5.502153,-1.2399129,2194.31,LIMCH1,LIM and calponin homology domains 1
84706,4.31e-06,3.79e-08,0.2553,-5.500465,-1.4042586,106.6,GPT2,glutamic--pyruvic transaminase 2
2294,4.94e-06,4.4e-08,0.2176,5.474017,1.1910369,148.43,FOXF1,forkhead box F1
946,4.94e-06,4.42e-08,0.3929,-5.47304,-2.1505622,4404.14,SIGLEC6,sialic acid binding Ig like lectin 6
83643,5.1e-06,4.6e-08,0.2926,5.466293,1.5994737,120.17,CCDC3,coiled-coil domain containing 3
56256,5.34e-06,4.87e-08,0.2327,-5.455843,-1.2695882,147.12,SERTAD4,SERTA domain containing 4
11185,5.34e-06,4.92e-08,0.2354,5.454307,1.2840007,167.0,INMT,indolethylamine N-methyltransferase
51268,5.34e-06,4.92e-08,0.5864,-5.454075,-3.1982723,72.71,PIPOX,pipecolic acid and sarcosine oxidase
25975,5.34e-06,4.84e-08,0.2127,5.457078,1.1609811,1503.76,EGFL6,EGF like domain multiple 6
102724297,5.5e-06,5.13e-08,0.6748,-5.446653,-3.6756401,15.28,CCR5AS,CCR5 antisense RNA
101929475,5.84e-06,5.51e-08,0.4424,-5.433967,-2.4037284,23.54,ITGB1-DT,ITGB1 divergent transcript
5768,6.83e-06,6.59e-08,0.3673,-5.402068,-1.9840271,4195.43,QSOX1,quiescin sulfhydryl oxidase 1
346389,6.83e-06,6.53e-08,0.3971,-5.403731,-2.1457535,41.08,MACC1,MET transcriptional regulator MACC1
390226,6.83e-06,6.59e-08,0.5164,-5.402112,-2.7894561,17.12,GUCY2EP,"guanylate cyclase 2E, pseudogene"
139728,7.08e-06,6.86e-08,0.4408,-5.39474,-2.3780629,32.76,PNCK,pregnancy up-regulated nonubiquitous CaM kinase
3853,7.62e-06,7.43e-08,0.6734,-5.380364,-3.6233747,17.78,KRT6A,keratin 6A
3972,8e-06,7.85e-08,0.535,-5.370595,-2.8734906,16.44,LHB,luteinizing hormone subunit beta
51411,8.63e-06,8.57e-08,0.2817,-5.354789,-1.5082804,222.2,BIN2,bridging integrator 2
121838,8.63e-06,8.6e-08,0.4633,5.354013,2.480584,137.75,NRAD1,non-coding RNA in the aldehyde dehydrogenase 1A pathway
80206,1.03e-05,1.03e-07,0.3749,-5.321872,-1.9953197,68.99,FHOD3,formin homology 2 domain containing 3
167465,1.05e-05,1.05e-07,0.191,5.31734,1.0154354,231.69,ZNF366,zinc finger protein 366
883,1.07e-05,1.09e-07,0.3163,-5.311372,-1.679854,73.6,KYAT1,kynurenine aminotransferase 1
6909,1.15e-05,1.18e-07,0.2248,5.297091,1.1906956,640.82,TBX2,T-box transcription factor 2
3904,1.17e-05,1.21e-07,0.4627,-5.292395,-2.4486797,16.32,LAIR2,leukocyte associated immunoglobulin like receptor 2
105374421,1.29e-05,1.33e-07,0.2845,-5.274464,-1.500527,70.25,LOC105374421,uncharacterized LOC105374421
55227,1.31e-05,1.37e-07,0.237,-5.269128,-1.248761,822.63,LRRC1,leucine rich repeat containing 1
91319,1.34e-05,1.41e-07,0.3574,-5.264081,-1.8813049,158.93,DERL3,derlin 3
182,1.42e-05,1.5e-07,0.2236,5.252039,1.1743108,1233.62,JAG1,jagged canonical Notch ligand 1
51206,1.45e-05,1.54e-07,0.31,-5.247221,-1.6264355,42.69,GP6,glycoprotein VI platelet
107984270,1.47e-05,1.59e-07,0.5551,-5.241858,-2.9098042,19.26,LOC107984270,uncharacterized LOC107984270
90019,1.5e-05,1.63e-07,0.5085,-5.236999,-2.6631802,64.73,SYT8,synaptotagmin 8
9052,1.52e-05,1.67e-07,0.4368,-5.233302,-2.2860269,207.25,GPRC5A,G protein-coupled receptor class C group 5 member A
189,1.59e-05,1.77e-07,0.6806,-5.222134,-3.5540679,13.76,AGXT,alanine--glyoxylate aminotransferase
2317,1.59e-05,1.76e-07,0.3104,-5.223285,-1.6212682,3732.24,FLNB,filamin B
604,1.59e-05,1.76e-07,0.247,-5.222664,-1.2897725,898.71,BCL6,BCL6 transcription repressor
10584,1.59e-05,1.75e-07,0.32,5.224527,1.6718212,72.02,COLEC10,collectin subfamily member 10
100505839,1.6e-05,1.79e-07,0.2868,-5.22043,-1.4972574,71.55,SH3PXD2A-AS1,SH3PXD2A antisense RNA 1
430,1.62e-05,1.82e-07,0.6343,-5.217067,-3.308947,54.21,ASCL2,achaete-scute family bHLH transcription factor 2
105374423,1.74e-05,1.98e-07,0.2606,-5.201291,-1.3552181,108.65,LOC105374423,uncharacterized LOC105374423
54567,1.74e-05,1.98e-07,0.2239,5.201393,1.1648322,215.15,DLL4,delta like canonical Notch ligand 4
5733,1.76e-05,2.01e-07,0.5858,-5.198275,-3.0452254,42.42,PTGER3,prostaglandin E receptor 3
8639,2.01e-05,2.3e-07,0.282,5.173085,1.4586327,188.92,AOC3,amine oxidase copper containing 3
3351,2.05e-05,2.37e-07,0.24,5.167633,1.2402715,42.33,HTR1B,5-hydroxytryptamine receptor 1B
3248,2.17e-05,2.53e-07,0.3075,-5.155355,-1.5851675,3329.27,HPGD,15-hydroxyprostaglandin dehydrogenase
93010,2.41e-05,2.82e-07,0.5566,-5.135068,-2.8581574,128.3,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
151242,2.42e-05,2.86e-07,0.5566,-5.132212,-2.8563535,24.09,PPP1R1C,protein phosphatase 1 regulatory inhibitor subunit 1C
23250,2.42e-05,2.85e-07,0.203,-5.132961,-1.0420516,855.58,ATP11A,ATPase phospholipid transporting 11A
3074,2.57e-05,3.06e-07,0.3926,-5.120022,-2.0099111,3403.78,HEXB,hexosaminidase subunit beta
4281,2.95e-05,3.54e-07,0.2344,-5.092172,-1.1935851,229.63,MID1,midline 1
654,2.96e-05,3.57e-07,0.2171,5.090531,1.1050871,179.7,BMP6,bone morphogenetic protein 6
10863,2.96e-05,3.59e-07,0.3035,-5.089398,-1.5447046,80.13,ADAM28,ADAM metallopeptidase domain 28
102724945,2.96e-05,3.6e-07,0.5835,-5.088854,-2.9695672,15.16,LOC102724945,uncharacterized LOC102724945
4811,3.01e-05,3.69e-07,0.2027,5.084432,1.0305385,2267.74,NID1,nidogen 1
55765,3.3e-05,4.1e-07,0.3408,-5.06419,-1.725623,49.16,INAVA,innate immunity activator
11178,3.3e-05,4.09e-07,0.2569,5.064883,1.3009851,156.08,LZTS1,leucine zipper tumor suppressor 1
105375183,3.35e-05,4.18e-07,0.5186,-5.0605,-2.6241486,33.41,LOC105375183,uncharacterized LOC105375183
126767,3.48e-05,4.36e-07,0.6539,-5.052623,-3.3037015,86.74,AADACL3,arylacetamide deacetylase like 3
4629,3.5e-05,4.41e-07,0.2685,5.050497,1.3560415,1562.08,MYH11,myosin heavy chain 11
200424,3.65e-05,4.65e-07,0.2635,-5.040203,-1.3280101,868.96,TET3,tet methylcytosine dioxygenase 3
107986718,3.65e-05,4.67e-07,0.3921,-5.039586,-1.975966,34.77,LOC107986718,replaced by ID 105375535
4909,3.81e-05,4.89e-07,0.3141,-5.030632,-1.5802757,56.26,NTF4,neurotrophin 4
126353,3.87e-05,5.01e-07,0.4569,-5.025739,-2.2964521,19.86,MISP,mitotic spindle positioning
254228,3.9e-05,5.07e-07,0.2167,5.023759,1.0885208,160.51,CALHM5,calcium homeostasis modulator family member 5
79839,3.97e-05,5.18e-07,0.2705,5.019528,1.3578368,371.47,CCDC102B,coiled-coil domain containing 102B
